bin,n_seasons,mean_total_loss_usd,mean_fhcf_shortfall_usd,share_fhcf_shortfall_usd,mean_figa_residual_deficit_usd,share_figa_residual_deficit_usd,mean_citizens_residual_deficit_usd,share_citizens_residual_deficit_usd,mean_nfip_borrowed_usd,share_nfip_borrowed_usd,share_fhcf_shortfall_usd_lo90,share_fhcf_shortfall_usd_hi90,share_figa_residual_deficit_usd_lo90,share_figa_residual_deficit_usd_hi90,share_citizens_residual_deficit_usd_lo90,share_citizens_residual_deficit_usd_hi90,share_nfip_borrowed_usd_lo90,share_nfip_borrowed_usd_hi90,total_nonoverlapping_share,reconciliation_check_diff
Zero loss,2869,0.0007844243802707889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
> 0 -- 10yr (39.5B),6130,3965457388.3958225,0.0,0.0,33558530.9304249,0.008462713791510592,30591329.212685056,0.007714451629767835,700479.9541171467,0.00017664543721159927,0.0,0.0,0.007850798374634448,0.009127163565391947,0.0070426190126681295,0.008397495893401562,8.304796999675278e-05,0.0002685791802556516,0.016353810858490025,0.0
10yr -- 25yr (39.5-147B),601,78790249090.22627,96075007.82756048,0.0012193768764144997,3938948437.558523,0.049992841538651,2228073457.019956,0.028278543128712395,483170040.7277292,0.006132358335032414,0.0007284824528977914,0.0017081606484080595,0.048453280248272376,0.05141622022123636,0.027399835188153577,0.029109713776444064,0.005155726117110597,0.007034805379538575,0.08440374300239581,-1.3877787807814457e-17
25yr -- 50yr (147-246B),199,189348264757.04532,2375793808.359636,0.01254721722117729,13620228906.441563,0.07193215593455697,6946187477.100469,0.036684716841811,2796977223.887348,0.014771602092452117,0.01068601324531921,0.014407798058658926,0.06948411992983093,0.0742814299799251,0.034770558973407764,0.03849066739100051,0.013041333517969225,0.0165883422117631,0.1233884748688201,-1.3877787807814457e-17
50yr -- 100yr (246-357B),100,295490243108.54474,10678468513.377302,0.03613814250189878,24893888552.044388,0.0842460593289367,13536585793.045996,0.04581060156383403,6265613282.313907,0.021204129166499452,0.033078565434229934,0.038953504738475093,0.08034131352488279,0.0881752917403447,0.043516650246717005,0.048124707432542026,0.018171109491493725,0.0242897404348378,0.15126079005927018,-2.7755575615628914e-17
100yr -- 250yr (357-564B),101,540072915452.4936,18392575732.793118,0.0340557269334329,50992901264.37317,0.0944185494316992,28913146528.260452,0.05353563509852354,19625115483.137806,0.036337899793947526,0.03199023322555074,0.03617030077902897,0.09058597420402767,0.09881380820599892,0.050572038636657074,0.05683028047236726,0.031666895045884484,0.040660606446031575,0.18429208432417027,-2.7755575615628914e-17
