pathway,time_category,metric,era5_baseline,delta_median,delta_p10,delta_p90,scaled_median,scaled_p10,scaled_p90,n_models
ssp245,mid,catbond_issue_volume_year_usd,9464500000.0,0.0,0.0,0.0,9464500000.0,9464500000.0,9464500000.0,5
ssp245,mid,catbond_limit_in_force_usd,9464500000.0,0.0,0.0,0.0,9464500000.0,9464500000.0,9464500000.0,5
ssp245,mid,catbond_payout_usd,511945273.42870957,2.6943536027186368,0.8206129889998626,6.066346873767169,1891306865.2861307,932054214.4613948,3617582882.4328403,5
ssp245,mid,catbond_triggers,3.6528,2.24031379385487,0.7049958922491175,5.033949466309605,11.836218226193068,6.228008995207577,22.040810610535726,5
ssp245,mid,citizens_residual_deficit_usd,718277468.2344651,8.634406318634854,3.1579192063790464,25.168300277576297,6920176978.491177,2986539680.6813984,18796100471.376755,5
ssp245,mid,citizens_tier1_capacity_usd,539937478.65,0.0,-1.3247010359292595e-16,1.32470103592926e-16,539937478.65,539937478.6499999,539937478.6500001,5
ssp245,mid,citizens_tier1_usd,100789599.68242246,3.634698997055192,1.1141647634508265,8.663066075881828,467129456.5617177,213085820.1708922,973936561.4929262,5
ssp245,mid,citizens_tier2_capacity_usd,359958319.09999996,0.0,0.0,0.0,359958319.09999996,359958319.09999996,359958319.09999996,5
ssp245,mid,citizens_tier2_usd,49554667.266172744,4.268426457670688,1.336340457814135,10.01080274988976,261075120.12617207,115776574.00747715,545636666.6042469,5
ssp245,mid,defaulted_premium_base_pct,4.590575368681856,4.854867304055447,1.4455824377757858,11.665191572819628,26.877209632897678,11.22663050093445,58.1405164738228,5
ssp245,mid,defaults_post,2.1875,5.64971037388099,1.7345457092367198,13.845019551007216,14.546241442864666,5.981818738955324,32.473480267828286,5
ssp245,mid,defaults_pre,3.4775,5.726541733120681,1.7265417199502742,14.010881113697915,23.391548876927168,9.481548831127078,52.200339072884496,5
ssp245,mid,diag_group_shortfall_total_usd,6174970.940672383,29.074030266192654,6.813817422546164,121.38036888708653,185706262.96264136,48250095.519942135,755695221.5865259,5
ssp245,mid,diag_groups_fully_funded_share,0.9986226415094339,-0.0034339541357370114,-0.004040419437252049,-0.0006300458582119883,0.995193417159582,0.9945877871781992,0.9979934634502341,5
ssp245,mid,diag_groups_with_shortfall,0.073,8.033962264150944,2.3968764467958925,23.032133823529414,0.6594792452830188,0.24797198061610015,1.7543457691176472,5
ssp245,mid,fhcf_recovery_citizens_usd,160490599.41146898,7.813708436259744,2.284616816539539,16.65081028067726,1414517349.9732475,527150121.72342163,2832789122.0440125,5
ssp245,mid,fhcf_recovery_private_usd,805045573.3874182,7.068733138279164,2.534430597067934,19.40762749331566,6495697895.816011,2845377706.6145897,16429070176.833143,5
ssp245,mid,fhcf_scaling_factor,0.9895177457955809,-0.0298830267847083,-0.04020138052679084,-0.0059569739904141335,0.9599479604940274,0.9497377663588404,0.9836232143208234,5
ssp245,mid,fhcf_shortfall_usd,345602104.79177666,22.23405852882222,5.3541986363382135,423.05588335716755,8029739530.416289,2196024422.9835234,146554605837.57324,5
ssp245,mid,fhcf_total_postcap_usd,965536172.7988871,6.7426222695918465,2.606770524987084,18.95723698089722,7475781873.609145,3482467408.859862,19269434214.17592,5
ssp245,mid,fhcf_total_precap_usd,1311138277.5906637,8.724834465681557,3.6015083018918985,27.537590040544984,12750602711.188038,6033213669.261684,37416726652.348625,5
ssp245,mid,figa_collected_usd,48326314.97494906,4.322244519345491,1.2895825482638945,10.55460695628044,257204465.01558656,110647087.38854748,558391575.180946,5
ssp245,mid,figa_residual_deficit_usd,1292311924.0864177,11.210721846894584,4.494783574731379,40.84072443236976,15780061444.444395,7100974333.899552,54071267096.36535,5
ssp245,mid,flood_insured_capped_pct,2.1724964393234587,0.40983678863918716,0.15331361111002925,1.0812954707752012,3.0628654033458536,2.5055697135598187,4.521606999439165,5
ssp245,mid,flood_insured_capped_usd,644954483.8175347,7.297058430094994,2.237408538261402,17.006835906257734,5351225036.985842,2087981152.700862,11613589557.107506,5
ssp245,mid,flood_un_derinsured_pct,8.766038047287509,0.46928957389904774,0.2123799689574224,1.1174282736213998,12.879848307281904,10.627768935650014,18.561456808967495,5
