model,period,time_category,pathway,metric,historical_value,future_value,delta_absolute,delta_relative
canesm,ssp245_2cal,mid,ssp245,fhcf_recovery_private_usd,105929162.48588498,700589795.1520094,594660632.6661243,5.61375752163964
canesm,ssp245_2cal,mid,ssp245,fhcf_recovery_citizens_usd,12646976.582929062,111466764.2021413,98819787.61921224,7.813708436259744
canesm,ssp245_2cal,mid,ssp245,catbond_payout_usd,191737574.02469543,437052280.83703905,245314706.81234363,1.279429491377353
canesm,ssp245_2cal,mid,ssp245,catbond_unfilled_usd,0.0,0.0,0.0,
canesm,ssp245_2cal,mid,ssp245,catbond_triggers,1.5055,3.0694903374386704,1.5639903374386703,1.0388511042435538
canesm,ssp245_2cal,mid,ssp245,catbond_limit_in_force_usd,9464500000.0,9464500000.0,0.0,0.0
canesm,ssp245_2cal,mid,ssp245,catbond_issue_volume_year_usd,9464500000.0,9464500000.0,0.0,0.0
canesm,ssp245_2cal,mid,ssp245,year_id,5000.5,5000.5,0.0,0.0
canesm,ssp245cal,near,ssp245,policy_severity,,,,
canesm,ssp245cal,near,ssp245,total_damage_usd,2959208477.090196,8690415828.255594,5731207351.165398,1.9367365954564044
canesm,ssp245cal,near,ssp245,wind_total_usd,2545697289.3634353,7309556492.119316,4763859202.75588,1.8713376577256395
canesm,ssp245cal,near,ssp245,water_total_usd,413511187.72676116,1380859336.1362767,967348148.4095156,2.3393518171235486
canesm,ssp245cal,near,ssp245,underinsured_wind_usd,462038621.0917074,1350371472.476339,888332851.3846316,1.9226376558861549
canesm,ssp245cal,near,ssp245,uninsured_wind_usd,1068542760.5448261,3017690197.9945536,1949147437.4497275,1.8241173955976275
canesm,ssp245cal,near,ssp245,nfip_policyholder_shortfall_usd,0.0,0.0,0.0,
canesm,ssp245cal,near,ssp245,wind_insured_private_usd,860827887.2945501,2499209119.503588,1638381232.2090383,1.9032622622836013
canesm,ssp245cal,near,ssp245,wind_insured_citizens_usd,154288020.43235102,442285702.14483476,287997681.71248376,1.8666237398434893
canesm,ssp245cal,near,ssp245,wind_underinsured_usd,462038621.0917074,1350371472.476339,888332851.3846316,1.9226376558861549
canesm,ssp245cal,near,ssp245,wind_uninsured_usd,1068542760.5448261,3017690197.9945536,1949147437.4497275,1.8241173955976275
canesm,ssp245cal,near,ssp245,flood_insured_capped_usd,80629474.99125698,278125974.7764558,197496499.78519884,2.4494330368220094
canesm,ssp245cal,near,ssp245,flood_un_derinsured_usd,332881712.73550415,1102733361.359821,769851648.6243169,2.3126883189164955
canesm,ssp245cal,near,ssp245,wind_insured_private_pct,14.840131153440463,17.49153372127071,2.651402567830246,0.17866436222267199
canesm,ssp245cal,near,ssp245,wind_insured_citizens_pct,1.9526318049507136,2.3103467049749637,0.3577149000242501,0.18319628878178557
canesm,ssp245cal,near,ssp245,wind_underinsured_pct,7.662562324366621,8.838281971801692,1.1757196474350708,0.15343687890098232
canesm,ssp245cal,near,ssp245,wind_uninsured_pct,17.722962280837034,20.622467823328112,2.8995055424910774,0.16360163140595124
canesm,ssp245cal,near,ssp245,flood_insured_capped_pct,1.31212909340994,1.5103775049352302,0.19824841152529005,0.1510891058821699
canesm,ssp245cal,near,ssp245,flood_un_derinsured_pct,6.339583342995228,7.5869922736892885,1.2474089306940606,0.19676512843266827
canesm,ssp245cal,near,ssp245,insured_private_wind_pre_usd,860827887.2945501,2499209119.503588,1638381232.2090383,1.9032622622836013
canesm,ssp245cal,near,ssp245,insured_citizens_wind_pre_usd,154288020.43235102,442285702.14483476,287997681.71248376,1.8666237398434893
canesm,ssp245cal,near,ssp245,insured_flood_pre_usd,80629474.99125698,278125974.7764558,197496499.78519884,2.4494330368220094
canesm,ssp245cal,near,ssp245,defaults_pre,0.6876,1.8319,1.1443,1.6641942990110532
canesm,ssp245cal,near,ssp245,defaults_post,0.4257,1.1555,0.7298,1.7143528306319002
canesm,ssp245cal,near,ssp245,rescued_defaults,0.2619,0.6764,0.4145,1.5826651393661701
canesm,ssp245cal,near,ssp245,group_contrib_total_usd,55146919.2058942,216348308.84625757,161201389.64036337,2.923125932719989
canesm,ssp245cal,near,ssp245,group_supported_companies,0.2625,0.6808,0.41829999999999995,1.5935238095238093
canesm,ssp245cal,near,ssp245,defaulted_premium_base_pct,1.0206296127848284,2.615884926372292,1.5952553135874636,1.563011001841056
canesm,ssp245cal,near,ssp245,largest_entity_deficit_usd,38189735.0155562,130403260.89169213,92213525.87613593,2.414615493890536
canesm,ssp245cal,near,ssp245,diag_group_shortfall_total_usd,318985.3947500718,1917744.6509664436,1598759.256216372,5.012013974711963
canesm,ssp245cal,near,ssp245,diag_groups_with_shortfall,0.0112,0.0326,0.021399999999999995,1.9107142857142854
canesm,ssp245cal,near,ssp245,diag_groups_fully_funded_share,0.9997886792452829,0.9993849056603774,-0.0004037735849055091,-0.0004038589286791168
canesm,ssp245cal,near,ssp245,figa_residual_deficit_usd,128533353.04411279,486475333.8838701,357941980.8397573,2.784817888606012
canesm,ssp245cal,near,ssp245,figa_collected_usd,11480936.627095373,28957365.493642554,17476428.866547182,1.5222128153988985
canesm,ssp245cal,near,ssp245,citizens_residual_deficit_usd,84389555.4782708,270723208.3352819,186333652.8570111,2.208017944886433
canesm,ssp245cal,near,ssp245,citizens_tier1_usd,28514260.862281054,59367722.60393553,30853461.741654478,1.082036174483756
canesm,ssp245cal,near,ssp245,citizens_tier2_usd,11155768.478832468,24768537.901699312,13612769.422866844,1.220244884850059
canesm,ssp245cal,near,ssp245,citizens_tier1_capacity_usd,539937478.65,539937478.65,0.0,0.0
canesm,ssp245cal,near,ssp245,citizens_tier2_capacity_usd,359958319.09999996,359958319.09999996,0.0,0.0
canesm,ssp245cal,near,ssp245,nfip_borrowed_usd,18467646.44827069,126959578.08583999,108491931.6375693,5.874702655883283
canesm,ssp245cal,near,ssp245,nfip_claims_paid_usd,80629474.99125698,278125974.7764558,197496499.78519884,2.4494330368220094
canesm,ssp245cal,near,ssp245,nfip_pool_used_usd,62161828.54298628,151166396.69061586,89004568.14762959,1.4318203024880607
canesm,ssp245cal,near,ssp245,nfip_fl_premium_base_usd,1395853723.0,1395853723.0,0.0,0.0
canesm,ssp245cal,near,ssp245,nfip_fl_premium_depletion_usd,44916469.34531452,99366107.86721213,54449638.521897614,1.2122421756548314
canesm,ssp245cal,near,ssp245,underinsured_flood_usd,0.0,0.0,0.0,
canesm,ssp245cal,near,ssp245,fhcf_total_precap_usd,137953772.37042728,539998612.2989132,402044839.928486,2.9143446606804866
canesm,ssp245cal,near,ssp245,fhcf_total_postcap_usd,118576139.06881401,408738784.29391384,290162645.2250998,2.4470576247781852
canesm,ssp245cal,near,ssp245,fhcf_shortfall_usd,19377633.301613256,131259828.00499937,111882194.70338611,5.773780159936845
canesm,ssp245cal,near,ssp245,fhcf_scaling_factor,0.9993913920048104,0.9963756018386035,-0.0030157901662068998,-0.0030176267179539444
canesm,ssp245cal,near,ssp245,fhcf_recovery_private_usd,105929162.48588498,350637476.0534286,244708313.56754363,2.310112794483303
canesm,ssp245cal,near,ssp245,fhcf_recovery_citizens_usd,12646976.582929062,58101308.24048528,45454331.65755622,3.594086804818683
canesm,ssp245cal,near,ssp245,catbond_payout_usd,191737574.02469543,341429634.93733,149692060.91263458,0.7807132309567791
canesm,ssp245cal,near,ssp245,catbond_unfilled_usd,0.0,0.0,0.0,
canesm,ssp245cal,near,ssp245,catbond_triggers,1.5055,2.5038,0.9983,0.6631019594818996
canesm,ssp245cal,near,ssp245,catbond_limit_in_force_usd,9464500000.0,9464500000.0,0.0,0.0
canesm,ssp245cal,near,ssp245,catbond_issue_volume_year_usd,9464500000.0,9464500000.0,0.0,0.0
canesm,ssp245cal,near,ssp245,year_id,5000.5,5000.5,0.0,0.0
canesm,ssp585_2cal,mid,ssp585,policy_severity,,,,
canesm,ssp585_2cal,mid,ssp585,total_damage_usd,2959208477.090196,13445135592.45815,10485927115.367954,3.543490496377199
