event1_id,event2_id,event1_total,event2_total,composite_total,naive_sum,savings_vs_naive,savings_pct,original_exposure,remaining_exposure_after_event1,pct_exposure_destroyed_event1,degradation_mode,n_buildings_hit_by_both,n_buildings_hit_by_either,overlap_rate,n_buildings_total,scenario_name
1926255N15314,1992230N11325,23289859313.495342,12848617498.028614,36138476811.52396,37791135455.10983,1652658643.5858765,4.373138366136116,3991528544038.468,3968238684724.9727,0.5834822188176436,direct,490710,1092088,0.4493319219696581,6615039,great_miami_then_andrew_capra
1992230N11325,1926255N15314,14501276141.614494,21637200669.909462,36138476811.52396,37791135455.10983,1652658643.5858765,4.373138366136116,3991528544038.468,3977027267896.8535,0.36330132633706214,direct,490710,1092088,0.4493319219696581,6615039,andrew_then_great_miami_capra
1926255N15314,1926255N15314,23289859313.495342,15785672472.425236,39075531785.92058,46579718626.99068,7504186841.070099,16.11041685580683,3991528544038.468,3968238684724.9727,0.5834822188176436,direct,1077579,1077579,1.0,6615039,great_miami_twice_capra
2017242N16333,2017242N16333,14281867685.745642,7109164457.135574,21391032142.881214,28563735371.49128,7172703228.610065,25.111222798153193,3991528544038.468,3977246676352.7217,0.3578044733533625,direct,614977,614977,1.0,6615039,irma_twice_capra
