scenario_name,event1_id,event2_id,event1_total,event2_total,composite_total,naive_sum,savings_vs_naive,savings_pct,original_exposure,remaining_exposure_after_event1,pct_exposure_destroyed_event1,degradation_mode,n_locations_hit_by_both,n_locations_hit_by_either,overlap_rate
great_miami_then_andrew,1926255N15314,1992230N11325,170435222808.70065,96200695374.49495,266635918183.19562,279605545520.57794,12969627337.382324,4.6385443869631,4610059881372.056,4439624658563.355,3.6970283943030924,direct,1266,4788,0.2644110275689223
andrew_then_great_miami,1992230N11325,1926255N15314,109170322711.87729,157465595471.31833,266635918183.19562,279605545520.57794,12969627337.382324,4.6385443869631,4610059881372.056,4500889558660.179,2.3680890383442343,direct,1266,4788,0.2644110275689223
great_miami_twice,1926255N15314,1926255N15314,170435222808.70065,150862866205.41354,321298089014.1142,340870445617.4013,19572356603.28711,5.741875499894599,4610059881372.056,4439624658563.355,3.6970283943030924,direct,4788,4788,1.0
irma_twice,2017242N16333,2017242N16333,31836388139.430405,30664199135.90187,62500587275.332275,63672776278.86081,1172189003.528534,1.8409578976026173,4610059881372.056,4578223493232.626,0.6905851324853995,direct,8209,8209,1.0
