event1_id,event2_id,event1_total,event2_total,composite_total,naive_sum,savings_vs_naive,savings_pct,original_exposure,remaining_exposure_after_event1,pct_exposure_destroyed_event1,degradation_mode,n_buildings_hit_by_both,n_buildings_hit_by_either,overlap_rate,n_buildings_total,scenario_name
1926255N15314,1992230N11325,117924439012.66348,58555435581.745384,176479874594.40887,184349767702.47885,7869893108.069977,4.269000827151112,3991528544038.468,3873604105025.804,2.954367924758783,direct,1452487,3694183,0.3931822002320946,6615039,great_miami_then_andrew
1992230N11325,1926255N15314,66425328689.81538,110054545904.59349,176479874594.40887,184349767702.47885,7869893108.069977,4.269000827151112,3991528544038.468,3925103215348.6523,1.6641576768635313,direct,1452487,3694183,0.3931822002320946,6615039,andrew_then_great_miami
1926255N15314,1926255N15314,117924439012.66348,105511223829.1816,223435662841.84506,235848878025.32697,12413215183.481903,5.263207222952697,3991528544038.468,3873604105025.804,2.954367924758783,direct,3694183,3694183,1.0,6615039,great_miami_twice
2017242N16333,2017242N16333,33844436747.824024,32482677236.32423,66327113984.14826,67688873495.64805,1361759511.4997864,2.0117922505939454,3991528544038.468,3957684107290.6436,0.8479066696985615,direct,4587741,4587741,1.0,6615039,irma_twice
