countyfp,county_name,value
001,Alachua,0.0
003,Baker,0.0
005,Bay,93641738.11153023
007,Bradford,0.0
009,Brevard,0.0
011,Broward,3743325727.9989915
013,Calhoun,7520142.265993229
015,Charlotte,24635224.874820266
017,Citrus,0.0
019,Clay,0.0
021,Collier,132736209.59861505
023,Columbia,0.0
027,DeSoto,4059063.6393418037
029,Dixie,0.0
031,Duval,0.0
033,Escambia,0.0
035,Flagler,0.0
037,Franklin,3262833.5564750773
039,Gadsden,572208.5308369866
041,Gilchrist,0.0
043,Glades,4073283.0032778485
045,Gulf,6238758.887458222
047,Hamilton,0.0
049,Hardee,989.6812789660103
051,Hendry,19438979.815762013
053,Hernando,0.0
055,Highlands,1357.79377705457
057,Hillsborough,792948.880748737
059,Holmes,14045238.462385038
061,Indian River,0.0
063,Jackson,30382536.193801217
065,Jefferson,0.0
067,Lafayette,0.0
069,Lake,0.0
071,Lee,305335797.8654015
073,Leon,12202.03741810239
075,Levy,0.0
077,Liberty,1413291.7582385447
079,Madison,0.0
081,Manatee,28719244.26154342
083,Marion,0.0
085,Martin,0.0
086,Miami-Dade,20199607200.31554
087,Monroe,491385.5651083475
089,Nassau,0.0
091,Okaloosa,1286056.6722308593
093,Okeechobee,0.0
095,Orange,0.0
097,Osceola,0.0
099,Palm Beach,10074331.677171627
101,Pasco,0.0
103,Pinellas,9285320.176975913
105,Polk,0.0
107,Putnam,0.0
109,St. Johns,0.0
111,St. Lucie,0.0
113,Santa Rosa,0.0
115,Sarasota,13015353.957346126
117,Seminole,0.0
119,Sumter,0.0
121,Suwannee,0.0
123,Taylor,0.0
125,Union,0.0
127,Volusia,0.0
129,Wakulla,744981.7110395401
131,Walton,6079553.156010483
133,Washington,29244840.532055445
nan,,794591.2654585089
