countyfp,county_name,value
001,Alachua,70611258.31452046
003,Baker,863.7838263558504
005,Bay,34719414.29412051
007,Bradford,4557648.754513995
009,Brevard,0.0
011,Broward,0.0
013,Calhoun,53102.571242402766
015,Charlotte,0.0
017,Citrus,0.0
019,Clay,76975312.00159036
021,Collier,0.0
023,Columbia,0.0
027,DeSoto,0.0
029,Dixie,312.8787276485616
031,Duval,184570610.0133362
033,Escambia,105118723.69863504
035,Flagler,38957637.38463888
037,Franklin,1487.263294566373
039,Gadsden,0.0
041,Gilchrist,3668.174672570984
043,Glades,0.0
045,Gulf,425332.1164341032
047,Hamilton,0.0
049,Hardee,0.0
051,Hendry,0.0
053,Hernando,0.0
055,Highlands,0.0
057,Hillsborough,0.0
059,Holmes,208251.7930816838
061,Indian River,0.0
063,Jackson,12392.891467120053
065,Jefferson,0.0
067,Lafayette,0.0
069,Lake,10513.08960524822
071,Lee,0.0
073,Leon,0.0
075,Levy,606927.0525197388
077,Liberty,1029.9294654942814
079,Madison,0.0
081,Manatee,0.0
083,Marion,16882423.11748879
085,Martin,0.0
086,Miami-Dade,0.0
087,Monroe,0.0
089,Nassau,0.0
091,Okaloosa,22766323.756505974
093,Okeechobee,0.0
095,Orange,0.0
097,Osceola,0.0
099,Palm Beach,0.0
101,Pasco,0.0
103,Pinellas,0.0
105,Polk,0.0
107,Putnam,40407430.56758841
109,St. Johns,453790691.075486
111,St. Lucie,0.0
113,Santa Rosa,31092770.492579572
115,Sarasota,0.0
117,Seminole,0.0
119,Sumter,0.0
121,Suwannee,0.0
123,Taylor,0.0
125,Union,48883.247511712136
127,Volusia,7543418.528154861
129,Wakulla,0.0
131,Walton,3956213.2254700083
133,Washington,408265.3928044506
nan,,654382.2348369188
