countyfp,county_name,value
001,Alachua,132027507.90608768
003,Baker,22998045.862658862
005,Bay,0.0
007,Bradford,58034761.1016186
009,Brevard,12679547463.028791
011,Broward,2171230756.969653
013,Calhoun,0.0
015,Charlotte,0.0
017,Citrus,658779.3791879476
019,Clay,153327108.26010397
021,Collier,0.0
023,Columbia,10802117.796300566
027,DeSoto,0.414758291296493
029,Dixie,0.0
031,Duval,67883650.815548
033,Escambia,0.0
035,Flagler,42507237.899408326
037,Franklin,0.0
039,Gadsden,0.0
041,Gilchrist,1121.0929269304613
043,Glades,1223545.8960993085
045,Gulf,0.0
047,Hamilton,347588.55117326934
049,Hardee,7710.85626081533
051,Hendry,1995811.5621528944
053,Hernando,116534.85561480297
055,Highlands,17067251.867771566
057,Hillsborough,0.0
059,Holmes,0.0
061,Indian River,5922595045.112234
063,Jackson,0.0
065,Jefferson,0.0
067,Lafayette,0.0
069,Lake,1330323306.8680768
071,Lee,0.0
073,Leon,0.0
075,Levy,310820.66516142065
077,Liberty,0.0
079,Madison,0.0
081,Manatee,0.0
083,Marion,309366316.95687985
085,Martin,3693836996.1580696
086,Miami-Dade,77845693.36921118
087,Monroe,0.0
089,Nassau,50860.42076036598
091,Okaloosa,0.0
093,Okeechobee,92237405.7852881
095,Orange,29343026838.52189
097,Osceola,2655624833.872439
099,Palm Beach,17191952461.07889
101,Pasco,21804.2264242343
103,Pinellas,0.0
105,Polk,204649484.72501212
107,Putnam,147183673.2447707
109,St. Johns,20360246.68163086
111,St. Lucie,13576136071.538496
113,Santa Rosa,0.0
115,Sarasota,0.0
117,Seminole,16087788130.351517
119,Sumter,130935012.52302685
121,Suwannee,46013.437972739644
123,Taylor,0.0
125,Union,6239227.517626227
127,Volusia,3159585206.2339005
129,Wakulla,0.0
131,Walton,0.0
133,Washington,0.0
nan,,99989685.97463587
