countyfp,county_name,value
001,Alachua,63484380.345694676
003,Baker,0.0
005,Bay,0.0
007,Bradford,0.0
009,Brevard,0.0
011,Broward,0.0
013,Calhoun,0.0
015,Charlotte,0.0
017,Citrus,1235568186.5866568
019,Clay,0.0
021,Collier,0.0
023,Columbia,3523.0256234408926
027,DeSoto,0.0
029,Dixie,894669.9081502032
031,Duval,0.0
033,Escambia,0.0
035,Flagler,0.0
037,Franklin,0.0
039,Gadsden,0.0
041,Gilchrist,446879.8423950751
043,Glades,0.0
045,Gulf,0.0
047,Hamilton,0.0
049,Hardee,0.0
051,Hendry,0.0
053,Hernando,885265944.5340257
055,Highlands,0.0
057,Hillsborough,676678383.4387567
059,Holmes,0.0
061,Indian River,0.0
063,Jackson,0.0
065,Jefferson,0.0
067,Lafayette,311.61227287236665
069,Lake,33231460.65320899
071,Lee,0.0
073,Leon,0.0
075,Levy,18957071.474903814
077,Liberty,0.0
079,Madison,0.0
081,Manatee,12089090.927563252
083,Marion,606904189.1086022
085,Martin,0.0
086,Miami-Dade,0.0
087,Monroe,0.0
089,Nassau,0.0
091,Okaloosa,0.0
093,Okeechobee,0.0
095,Orange,0.0
097,Osceola,0.0
099,Palm Beach,0.0
101,Pasco,862833366.4361086
103,Pinellas,1017940855.101441
105,Polk,3750620.455304497
107,Putnam,18119.954306192987
109,St. Johns,0.0
111,St. Lucie,0.0
113,Santa Rosa,0.0
115,Sarasota,0.0
117,Seminole,0.0
119,Sumter,94606191.67477357
121,Suwannee,0.0
123,Taylor,26610.75837673981
125,Union,0.0
127,Volusia,0.0
129,Wakulla,0.0
131,Walton,0.0
133,Washington,0.0
nan,,5969016.555147029
