countyfp,county_name,value
001,Alachua,0.0
003,Baker,0.0
005,Bay,98682138.04154934
007,Bradford,0.0
009,Brevard,0.0
011,Broward,560419294.0997411
013,Calhoun,15.734562351521264
015,Charlotte,204370171.25320086
017,Citrus,0.0
019,Clay,0.0
021,Collier,223611124.9615375
023,Columbia,0.0
027,DeSoto,1476378.6880292897
029,Dixie,0.0
031,Duval,0.0
033,Escambia,7725495490.166119
035,Flagler,0.0
037,Franklin,54864.494560091814
039,Gadsden,0.0
041,Gilchrist,0.0
043,Glades,171415.17764121626
045,Gulf,940215.4426608611
047,Hamilton,0.0
049,Hardee,89.72621265743297
051,Hendry,989207.8693015794
053,Hernando,0.0
055,Highlands,0.0
057,Hillsborough,6984158.4664827725
059,Holmes,25239.08516817837
061,Indian River,0.0
063,Jackson,0.0
065,Jefferson,0.0
067,Lafayette,0.0
069,Lake,0.0
071,Lee,1403926368.0852365
073,Leon,0.0
075,Levy,0.0
077,Liberty,1.5752393057081775
079,Madison,0.0
081,Manatee,378305517.31502384
083,Marion,0.0
085,Martin,0.0
086,Miami-Dade,1116465537.809643
087,Monroe,4.124934363027701
089,Nassau,0.0
091,Okaloosa,1122629504.5644183
093,Okeechobee,0.0
095,Orange,0.0
097,Osceola,0.0
099,Palm Beach,4607.755507707603
101,Pasco,0.0
103,Pinellas,180735298.8609449
105,Polk,0.0
107,Putnam,0.0
109,St. Johns,0.0
111,St. Lucie,0.0
113,Santa Rosa,3907936303.2570796
115,Sarasota,985731084.1518828
117,Seminole,0.0
119,Sumter,0.0
121,Suwannee,0.0
123,Taylor,0.0
125,Union,0.0
127,Volusia,0.0
129,Wakulla,0.0
131,Walton,87189203.02779636
133,Washington,92726.44108127576
nan,,13455250.920361703
