countyfp,county_name,value
001,Alachua,0.0
003,Baker,0.0
005,Bay,174995234.32057163
007,Bradford,0.0
009,Brevard,0.0
011,Broward,279494529.0491673
013,Calhoun,11496580.28741179
015,Charlotte,0.0
017,Citrus,0.0
019,Clay,0.0
021,Collier,196888.00983625549
023,Columbia,0.0
027,DeSoto,0.0
029,Dixie,0.0
031,Duval,0.0
033,Escambia,0.0
035,Flagler,0.0
037,Franklin,3256536.189588692
039,Gadsden,3888090.903299222
041,Gilchrist,0.0
043,Glades,0.0
045,Gulf,13469845.210745934
047,Hamilton,0.0
049,Hardee,0.0
051,Hendry,0.0
053,Hernando,0.0
055,Highlands,0.0
057,Hillsborough,0.0
059,Holmes,5217755.262084568
061,Indian River,0.0
063,Jackson,80542662.79253338
065,Jefferson,0.0
067,Lafayette,0.0
069,Lake,0.0
071,Lee,0.0
073,Leon,1828515.654648212
075,Levy,0.0
077,Liberty,2249147.8092632466
079,Madison,0.0
081,Manatee,0.0
083,Marion,0.0
085,Martin,0.0
086,Miami-Dade,23341312124.58256
087,Monroe,86730053.25640856
089,Nassau,0.0
091,Okaloosa,921431.6508249788
093,Okeechobee,0.0
095,Orange,0.0
097,Osceola,0.0
099,Palm Beach,0.0
101,Pasco,0.0
103,Pinellas,0.0
105,Polk,0.0
107,Putnam,0.0
109,St. Johns,0.0
111,St. Lucie,0.0
113,Santa Rosa,0.0
115,Sarasota,0.0
117,Seminole,0.0
119,Sumter,0.0
121,Suwannee,0.0
123,Taylor,0.0
125,Union,0.0
127,Volusia,0.0
129,Wakulla,427057.17248867336
131,Walton,2978267.34196238
133,Washington,13647909.86857967
nan,,849457.5139667211
