countyfp,county_name,value
001,Alachua,42381634.74975707
003,Baker,24246191.356029715
005,Bay,0.0
007,Bradford,15674790.253551422
009,Brevard,0.0
011,Broward,0.0
013,Calhoun,0.0
015,Charlotte,0.0
017,Citrus,0.0
019,Clay,958809669.0574752
021,Collier,0.0
023,Columbia,22567465.079643935
027,DeSoto,0.0
029,Dixie,470.0249363799695
031,Duval,4725182555.352314
033,Escambia,0.0
035,Flagler,98084141.70137942
037,Franklin,0.0
039,Gadsden,0.0
041,Gilchrist,20254.90026880874
043,Glades,0.0
045,Gulf,0.0
047,Hamilton,43287.7739498301
049,Hardee,0.0
051,Hendry,0.0
053,Hernando,0.0
055,Highlands,0.0
057,Hillsborough,0.0
059,Holmes,0.0
061,Indian River,0.0
063,Jackson,0.0
065,Jefferson,0.0
067,Lafayette,144926.19111188996
069,Lake,0.0
071,Lee,0.0
073,Leon,0.0
075,Levy,0.0
077,Liberty,0.0
079,Madison,3754.9961032663996
081,Manatee,0.0
083,Marion,101042.05864592717
085,Martin,0.0
086,Miami-Dade,0.0
087,Monroe,0.0
089,Nassau,9408181.975460263
091,Okaloosa,0.0
093,Okeechobee,0.0
095,Orange,0.0
097,Osceola,0.0
099,Palm Beach,0.0
101,Pasco,0.0
103,Pinellas,0.0
105,Polk,0.0
107,Putnam,27337490.955960624
109,St. Johns,1002361973.8721007
111,St. Lucie,0.0
113,Santa Rosa,0.0
115,Sarasota,0.0
117,Seminole,0.0
119,Sumter,0.0
121,Suwannee,1895266.187327363
123,Taylor,752760.1319002978
125,Union,2780057.2712162444
127,Volusia,14927216.95101587
129,Wakulla,0.0
131,Walton,0.0
133,Washington,0.0
nan,,1195481.775178793
