countyfp,county_name,value
001,Alachua,0.0
003,Baker,0.0
005,Bay,0.0
007,Bradford,0.0
009,Brevard,1817235577.0938456
011,Broward,0.0
013,Calhoun,0.0
015,Charlotte,4936358645.392378
017,Citrus,0.0
019,Clay,0.0
021,Collier,0.0
023,Columbia,0.0
027,DeSoto,684894936.6242203
029,Dixie,0.0
031,Duval,0.0
033,Escambia,0.0
035,Flagler,0.0
037,Franklin,0.0
039,Gadsden,0.0
041,Gilchrist,0.0
043,Glades,129701.71683379658
045,Gulf,0.0
047,Hamilton,0.0
049,Hardee,408758868.6696124
051,Hendry,372956.4555027961
053,Hernando,0.0
055,Highlands,1587914849.4055405
057,Hillsborough,3795119515.1921244
059,Holmes,0.0
061,Indian River,1827302.3177439263
063,Jackson,0.0
065,Jefferson,0.0
067,Lafayette,0.0
069,Lake,14038257.813766627
071,Lee,570850543.7251892
073,Leon,0.0
075,Levy,0.0
077,Liberty,0.0
079,Madison,0.0
081,Manatee,8978694209.805656
083,Marion,0.0
085,Martin,0.0
086,Miami-Dade,0.0
087,Monroe,0.0
089,Nassau,0.0
091,Okaloosa,0.0
093,Okeechobee,581027.5787525742
095,Orange,750689145.0430386
097,Osceola,1159639402.569717
099,Palm Beach,0.0
101,Pasco,25084890.002576962
103,Pinellas,508381334.2139952
105,Polk,5050953332.382986
107,Putnam,0.0
109,St. Johns,0.0
111,St. Lucie,2.911495638044047
113,Santa Rosa,0.0
115,Sarasota,18470071589.388985
117,Seminole,35256135.63117597
119,Sumter,314.26805805644256
121,Suwannee,0.0
123,Taylor,0.0
125,Union,0.0
127,Volusia,33997.02974980544
129,Wakulla,0.0
131,Walton,0.0
133,Washington,0.0
nan,,108526584.89752662
