countyfp,county_name,value
001,Alachua,73545744.14380008
003,Baker,0.0
005,Bay,17704.116855836575
007,Bradford,367337.40133412613
009,Brevard,0.0
011,Broward,0.0
013,Calhoun,0.0
015,Charlotte,0.0
017,Citrus,205774.21026621846
019,Clay,574904.6562801037
021,Collier,0.0
023,Columbia,1451.0335873676265
027,DeSoto,0.0
029,Dixie,709419.4198475213
031,Duval,0.0
033,Escambia,0.0
035,Flagler,196224271.04382354
037,Franklin,147535.3344932243
039,Gadsden,0.0
041,Gilchrist,299384.5620012944
043,Glades,0.0
045,Gulf,132730.75824953616
047,Hamilton,0.0
049,Hardee,0.0
051,Hendry,0.0
053,Hernando,0.0
055,Highlands,0.0
057,Hillsborough,0.0
059,Holmes,0.0
061,Indian River,0.0
063,Jackson,0.0
065,Jefferson,0.0
067,Lafayette,395.03696181572116
069,Lake,44894.76296748626
071,Lee,0.0
073,Leon,0.0
075,Levy,1475871.5105410363
077,Liberty,12.495793114981662
079,Madison,0.0
081,Manatee,0.0
083,Marion,18417204.473061357
085,Martin,0.0
086,Miami-Dade,0.0
087,Monroe,0.0
089,Nassau,0.0
091,Okaloosa,0.0
093,Okeechobee,0.0
095,Orange,0.0
097,Osceola,0.0
099,Palm Beach,0.0
101,Pasco,0.0
103,Pinellas,0.0
105,Polk,0.0
107,Putnam,12404963.37496278
109,St. Johns,3564829.925181524
111,St. Lucie,0.0
113,Santa Rosa,0.0
115,Sarasota,0.0
117,Seminole,0.0
119,Sumter,1597747.6134696074
121,Suwannee,0.0
123,Taylor,64840.880613943846
125,Union,0.0
127,Volusia,57646064.86253089
129,Wakulla,74.80645492180922
131,Walton,0.0
133,Washington,0.0
nan,,4600399.365177382
