countyfp,county_name,value
001,Alachua,0.0
003,Baker,0.0
005,Bay,0.0
007,Bradford,0.0
009,Brevard,0.0
011,Broward,37806.10852699357
013,Calhoun,0.0
015,Charlotte,45214989.65586646
017,Citrus,7627005.504689159
019,Clay,0.0
021,Collier,249178247.93998003
023,Columbia,0.0
027,DeSoto,25476956.01931749
029,Dixie,0.0
031,Duval,0.0
033,Escambia,0.0
035,Flagler,0.0
037,Franklin,0.0
039,Gadsden,0.0
041,Gilchrist,0.0
043,Glades,12627733.00768203
045,Gulf,0.0
047,Hamilton,0.0
049,Hardee,11799584.907550838
051,Hendry,47985799.37738353
053,Hernando,6056440.967254561
055,Highlands,67318802.31873403
057,Hillsborough,90990470.73344459
059,Holmes,0.0
061,Indian River,0.0
063,Jackson,0.0
065,Jefferson,0.0
067,Lafayette,0.0
069,Lake,108943.01419909103
071,Lee,760565370.2427902
073,Leon,0.0
075,Levy,3642.9172722202784
077,Liberty,0.0
079,Madison,0.0
081,Manatee,3852443.2480877936
083,Marion,133798.09696631413
085,Martin,0.0
086,Miami-Dade,43622262.40476358
087,Monroe,759717.1384203346
089,Nassau,0.0
091,Okaloosa,0.0
093,Okeechobee,6974.963069485284
095,Orange,0.0
097,Osceola,58661.8589777214
099,Palm Beach,1008427.6026644891
101,Pasco,34864802.98248731
103,Pinellas,0.0
105,Polk,207025327.63845453
107,Putnam,0.0
109,St. Johns,0.0
111,St. Lucie,0.0
113,Santa Rosa,0.0
115,Sarasota,34900228.461405545
117,Seminole,0.0
119,Sumter,1218113.2073796256
121,Suwannee,0.0
123,Taylor,0.0
125,Union,0.0
127,Volusia,0.0
129,Wakulla,0.0
131,Walton,0.0
133,Washington,0.0
nan,,1603394.2857281019
