countyfp,county_name,value
001,Alachua,0.0
003,Baker,0.0
005,Bay,0.0
007,Bradford,0.0
009,Brevard,1048710.2891553175
011,Broward,7774972.296523892
013,Calhoun,0.0
015,Charlotte,253295045.36218235
017,Citrus,0.0
019,Clay,0.0
021,Collier,4564113038.646453
023,Columbia,0.0
027,DeSoto,19023453.4400458
029,Dixie,0.0
031,Duval,0.0
033,Escambia,0.0
035,Flagler,0.0
037,Franklin,0.0
039,Gadsden,0.0
041,Gilchrist,0.0
043,Glades,27582436.893733375
045,Gulf,0.0
047,Hamilton,0.0
049,Hardee,2355564.1865331065
051,Hendry,131963745.93226078
053,Hernando,0.0
055,Highlands,41063835.7625618
057,Hillsborough,1220.267903932773
059,Holmes,0.0
061,Indian River,25798714.151705176
063,Jackson,0.0
065,Jefferson,0.0
067,Lafayette,0.0
069,Lake,0.0
071,Lee,5808835104.027357
073,Leon,0.0
075,Levy,0.0
077,Liberty,0.0
079,Madison,0.0
081,Manatee,6415180.957684442
083,Marion,0.0
085,Martin,167158425.5783403
086,Miami-Dade,0.18384458376797386
087,Monroe,1747297.4820842824
089,Nassau,0.0
091,Okaloosa,0.0
093,Okeechobee,40007972.05730944
095,Orange,0.0
097,Osceola,9319.884371979211
099,Palm Beach,387534143.8210179
101,Pasco,0.0
103,Pinellas,0.0
105,Polk,1705158.1332784372
107,Putnam,0.0
109,St. Johns,0.0
111,St. Lucie,291180825.608287
113,Santa Rosa,0.0
115,Sarasota,153550301.64138803
117,Seminole,0.0
119,Sumter,0.0
121,Suwannee,0.0
123,Taylor,0.0
125,Union,0.0
127,Volusia,0.0
129,Wakulla,0.0
131,Walton,0.0
133,Washington,0.0
nan,,70020531.29404232
