countyfp,county_name,value
001,Alachua,4298332783.986949
003,Baker,38059714.26142946
005,Bay,0.0
007,Bradford,74492834.38855198
009,Brevard,0.0
011,Broward,0.0004239040556037091
013,Calhoun,0.0
015,Charlotte,595038219.1649512
017,Citrus,1363684473.232353
019,Clay,311506680.38954955
021,Collier,770590628.5849888
023,Columbia,96342843.74823819
027,DeSoto,7816082.518048573
029,Dixie,8189995.103204366
031,Duval,807983713.2334409
033,Escambia,0.0
035,Flagler,0.0
037,Franklin,0.0
039,Gadsden,0.0
041,Gilchrist,8459384.08012541
043,Glades,5243.038880104218
045,Gulf,0.0
047,Hamilton,235368.86304881817
049,Hardee,467030.30469628144
051,Hendry,142015.81784858246
053,Hernando,3449873443.8187513
055,Highlands,0.0
057,Hillsborough,14476585739.69491
059,Holmes,0.0
061,Indian River,0.0
063,Jackson,0.0
065,Jefferson,0.0
067,Lafayette,332824.1927888726
069,Lake,11264456.016671255
071,Lee,2164044249.4334645
073,Leon,0.0
075,Levy,93136289.23443191
077,Liberty,0.0
079,Madison,846.7714259770457
081,Manatee,5029020726.916332
083,Marion,669315057.6643023
085,Martin,0.0
086,Miami-Dade,16868124.610613573
087,Monroe,403902.28050333826
089,Nassau,34651976.691428185
091,Okaloosa,0.0
093,Okeechobee,0.0
095,Orange,0.0
097,Osceola,0.0
099,Palm Beach,0.0
101,Pasco,11222268628.003881
103,Pinellas,22439959877.53588
105,Polk,38080205.79718226
107,Putnam,7368018.598665669
109,St. Johns,13252133.755048903
111,St. Lucie,0.0
113,Santa Rosa,0.0
115,Sarasota,4674602444.125829
117,Seminole,0.0
119,Sumter,35464059.12275613
121,Suwannee,3380827.854460311
123,Taylor,111770.07005280598
125,Union,22776826.410276346
127,Volusia,0.0
129,Wakulla,0.0
131,Walton,0.0
133,Washington,0.0
nan,,129064304.7449913
