countyfp,county_name,value
001,Alachua,150085628.50342113
003,Baker,881514473.4888859
005,Bay,0.0
007,Bradford,381536642.68393147
009,Brevard,0.0
011,Broward,0.0
013,Calhoun,23.13435554858311
015,Charlotte,0.0
017,Citrus,0.0
019,Clay,17301560171.82346
021,Collier,0.0
023,Columbia,1432612363.477502
027,DeSoto,0.0
029,Dixie,2987.671451764205
031,Duval,128695255477.97104
033,Escambia,0.0
035,Flagler,1163084340.8384318
037,Franklin,0.0
039,Gadsden,5436680.169233397
041,Gilchrist,165354.99417657586
043,Glades,0.0
045,Gulf,0.0
047,Hamilton,164417351.91657093
049,Hardee,0.0
051,Hendry,0.0
053,Hernando,0.0
055,Highlands,0.0
057,Hillsborough,0.0
059,Holmes,2445.878422791152
061,Indian River,0.0
063,Jackson,1071464.8383540625
065,Jefferson,10636836.047844348
067,Lafayette,4289590.6329439925
069,Lake,0.0
071,Lee,0.0
073,Leon,162156040.45191196
075,Levy,0.0
077,Liberty,382.9466503685355
079,Madison,55351282.88881165
081,Manatee,0.0
083,Marion,149956.52476362773
085,Martin,0.0
086,Miami-Dade,0.0
087,Monroe,0.0
089,Nassau,1349648376.4324217
091,Okaloosa,0.0
093,Okeechobee,0.0
095,Orange,0.0
097,Osceola,0.0
099,Palm Beach,0.0
101,Pasco,0.0
103,Pinellas,0.0
105,Polk,0.0
107,Putnam,220706194.3923411
109,St. Johns,14416050745.829393
111,St. Lucie,0.0
113,Santa Rosa,0.0
115,Sarasota,0.0
117,Seminole,0.0
119,Sumter,0.0
121,Suwannee,244504832.1063098
123,Taylor,9379708.927561922
125,Union,81872027.04211605
127,Volusia,93864929.42753866
129,Wakulla,77764.45587657434
131,Walton,0.0
133,Washington,0.0
nan,,9304959.651976254
