countyfp,county_name,value
001,Alachua,606220435.2251896
003,Baker,0.0
005,Bay,0.0
007,Bradford,5675694.681070537
009,Brevard,1023.7809599411132
011,Broward,0.0
013,Calhoun,0.0
015,Charlotte,0.0
017,Citrus,3149.756688659404
019,Clay,11469765.271147033
021,Collier,0.0
023,Columbia,57083.2991557101
027,DeSoto,0.0
029,Dixie,1373704.8701478585
031,Duval,0.0
033,Escambia,0.0
035,Flagler,1261479037.2248194
037,Franklin,2.83243944342384
039,Gadsden,0.0
041,Gilchrist,1304656.4532497132
043,Glades,0.0
045,Gulf,0.20806526717486126
047,Hamilton,0.0
049,Hardee,0.0
051,Hendry,0.0
053,Hernando,0.0
055,Highlands,0.0
057,Hillsborough,0.0
059,Holmes,0.0
061,Indian River,0.0
063,Jackson,0.0
065,Jefferson,0.0
067,Lafayette,3710.227488759107
069,Lake,822294.5584982407
071,Lee,0.0
073,Leon,0.0
075,Levy,5875879.898894085
077,Liberty,0.0
079,Madison,0.0
081,Manatee,0.0
083,Marion,65872597.29111097
085,Martin,0.0
086,Miami-Dade,0.0
087,Monroe,0.0
089,Nassau,0.0
091,Okaloosa,0.0
093,Okeechobee,0.0
095,Orange,0.0
097,Osceola,0.0
099,Palm Beach,0.0
101,Pasco,0.0
103,Pinellas,0.0
105,Polk,0.0
107,Putnam,138023026.01439744
109,St. Johns,125132018.01504701
111,St. Lucie,0.0
113,Santa Rosa,0.0
115,Sarasota,0.0
117,Seminole,424816.6424379682
119,Sumter,0.0
121,Suwannee,15879.315982660733
123,Taylor,53159.31934289903
125,Union,175415.24205005637
127,Volusia,361009033.2228136
129,Wakulla,0.0
131,Walton,0.0
133,Washington,0.0
nan,,22059749.286511205
