Metric,Baseline (ERA5),Market Exit,Insurance Penetration,Building Codes
Defaults > 10,11.36%,10.28%,9.66%,9.20%
Single Deficit > $1B,7.16%,6.45%,8.23%,5.60%
FIGA > 100% Capacity,13.63%,12.75%,13.45%,11.47%
Citizens > 100% Capacity,12.72%,16.41%,14.98%,10.89%
Residual financing requirement > 1% FL GDP,3.69%,4.27%,5.58%,2.38%
Residual financing requirement > 10% FL GDP,0.08%,0.12%,0.44%,0.01%
FHCF > 100% Cap,2.96%,2.94%,4.30%,1.89%
NFIP > 200% Annual Premium,5.04%,5.04%,9.32%,3.95%
