countyfp,county_name,value
001,Alachua,8087.200657634352
003,Baker,184.64778968777307
005,Bay,0.0
007,Bradford,79789.45633751802
009,Brevard,857488742.1586176
011,Broward,10000990.588010926
013,Calhoun,0.0
015,Charlotte,0.0
017,Citrus,0.0
019,Clay,26053905.149471525
021,Collier,0.0
023,Columbia,0.0
027,DeSoto,0.0
029,Dixie,0.0
031,Duval,432448158.14884007
033,Escambia,0.0
035,Flagler,475089993.0804324
037,Franklin,0.0
039,Gadsden,0.0
041,Gilchrist,0.0
043,Glades,9339.458732100247
045,Gulf,0.0
047,Hamilton,0.0
049,Hardee,0.0
051,Hendry,0.0
053,Hernando,0.0
055,Highlands,159.70681583564092
057,Hillsborough,0.0
059,Holmes,0.0
061,Indian River,275091515.363992
063,Jackson,0.0
065,Jefferson,0.0
067,Lafayette,0.0
069,Lake,11593782.023889601
071,Lee,0.0
073,Leon,0.0
075,Levy,0.0
077,Liberty,0.0
079,Madison,0.0
081,Manatee,0.0
083,Marion,1424229.0627568988
085,Martin,225890203.3183785
086,Miami-Dade,0.0
087,Monroe,0.0
089,Nassau,14049600.290793613
091,Okaloosa,0.0
093,Okeechobee,984818.294037279
095,Orange,277037364.6539109
097,Osceola,9563428.774046177
099,Palm Beach,721297257.276313
101,Pasco,0.0
103,Pinellas,0.0
105,Polk,90.06475745494215
107,Putnam,11352663.242915984
109,St. Johns,313389158.8054019
111,St. Lucie,716039354.7022463
113,Santa Rosa,0.0
115,Sarasota,0.0
117,Seminole,310200802.39749414
119,Sumter,573727.3504351156
121,Suwannee,0.0
123,Taylor,0.0
125,Union,0.0
127,Volusia,1606973034.6542919
129,Wakulla,0.0
131,Walton,0.0
133,Washington,0.0
nan,nan,61105073.18694074
