admin2_name,wind_weighted_present,rain_weighted_present,surge_weighted_present,is_coastal_present,n_extreme_events_present,mean_compound_hazard_present,wind_share_present,rain_share_present,surge_share_present,wind_deviation_pp_present,water_deviation_pp_present,wind_scaling_present,water_scaling_present,wind_weighted_future,rain_weighted_future,surge_weighted_future,is_coastal_future,n_extreme_events_future,mean_compound_hazard_future,wind_share_future,rain_share_future,surge_share_future,wind_deviation_pp_future,water_deviation_pp_future,wind_scaling_future,water_scaling_future,wind_share_change_pp,rain_share_change_pp,surge_share_change_pp,compound_hazard_change
Alachua,5.141671591789477,0.541161616207297,0.0,0.0,119.0,5.682833207996773,90.47725674148268,9.52274325851733,0.0,20.477256741482677,-20.47725674148267,1.2925322391640384,0.317424775283911,5.125575189333968,0.5405465171050134,0.0,0.0,864.0,5.666121706438981,90.46002636175753,9.539973638242476,0.0,20.460026361757528,-20.460026361757524,1.2922860908822504,0.31799912127474916,-0.017230379725148737,0.017230379725145184,0.0,0.9970593010658352
Baker,5.259438670242989,0.5740171090044919,0.0,0.0,115.0,5.83345577924748,90.1599132533659,9.84008674663409,0.0,20.1599132533659,-20.159913253365907,1.28799876076237,0.3280028915544697,5.102001067090255,0.5330506240965968,0.0,0.0,838.0,5.635051691186852,90.54044837014928,9.459551629850727,0.0,20.540448370149278,-20.54044837014927,1.2934349767164184,0.31531838766169096,0.3805351167833777,-0.3805351167833635,0.0,0.9659885845425535
Bay,6.369101072586366,0.7247169259287843,1.1129819804257572,1.0,228.0,8.206799978940907,77.6076069714118,8.830688304679622,13.561704723908578,7.607606971411798,-7.607606971411798,1.108680099591597,0.74641310095294,6.428379689801092,0.7431339070403087,1.1115845341923136,1.0,1489.0,8.283098131033716,77.60839710103548,8.971690245417472,13.419912653547062,7.608397101035479,-7.6083971010354645,1.1086913871576498,0.7463867632988179,0.0007901296236809685,0.14100194073784955,-0.1417920703615163,1.0092969430580243
Bradford,5.168357653362876,0.5263824799173608,0.0,0.0,117.0,5.694740133280238,90.75669007544057,9.243309924559425,0.0,20.756690075440574,-20.756690075440574,1.2965241439348654,0.3081103308186476,5.094105433394634,0.5379217086272906,0.0,0.0,855.0,5.632027142021925,90.44887932776946,9.551120672230534,0.0,20.44887932776946,-20.44887932776947,1.2921268475395637,0.31837068907435107,-0.3078107476711125,0.30781074767110894,0.0,0.9889875587312902
Brevard,6.493183205203461,0.7473780924587429,1.0775238073434188,1.0,206.0,8.318085105005622,78.06103355802432,8.984977708499146,12.953988733476544,8.06103355802432,-8.06103355802431,1.1151576222574904,0.7312988813991896,6.235027728181542,0.8072015861367602,1.1483819561107431,1.0,1339.0,8.190611270429045,76.12408307902685,9.855205667628724,14.02071125334444,6.124083079026846,-6.124083079026839,1.087486901128955,0.795863897365772,-1.936950478997474,0.8702279591295774,1.066722519867895,0.984675098539222
Broward,6.393453686505648,0.7388277202557643,0.7242855622988816,1.0,215.0,7.856566969060296,81.37719326626392,9.403951155324192,9.2188555784119,11.377193266263916,-11.377193266263909,1.162531332375199,0.6207602244578697,6.508378860246964,0.8270022636200456,0.8410972556420879,1.0,1396.0,8.1764783795091,79.59880229803429,10.114406535857524,10.28679116610819,9.598802298034286,-9.598802298034286,1.1371257471147755,0.6800399233988571,-1.7783909682296297,0.7104553805333325,1.0679355876962902,1.040718982185048
Calhoun,5.327918567332886,0.5454240975092629,0.0,0.0,116.0,5.8733426648421485,90.7135658749459,9.286434125054097,0.0,20.7135658749459,-20.713565874945903,1.2959080839277985,0.30954780416846994,5.241373370965317,0.5810925191390645,0.0,0.0,873.0,5.822465890104382,90.01982098123297,9.98017901876703,0.0,20.019820981232968,-20.019820981232968,1.2859974425890424,0.3326726339589011,-0.6937448937129318,0.6937448937129336,0.0,0.9913376798118192
Charlotte,6.696382821117807,0.7312182101818199,1.1255461191589349,1.0,243.0,8.553147150458562,78.2914487886344,8.549112944264229,13.159438267101375,8.291448788634398,-8.291448788634398,1.1184492684090628,0.7236183737121867,6.52592094194919,0.7546953337775837,0.994285709930218,1.0,1546.0,8.274901985656992,78.86402706957332,9.120293328980914,12.015679601445772,8.864027069573325,-8.864027069573314,1.1266289581367617,0.7045324310142229,0.5725782809389273,0.5711803847166852,-1.1437586656556036,0.9674686802521979
Citrus,6.356781696031586,0.6905364817680754,0.939373751495935,1.0,244.0,7.986691929295597,79.59217348442583,8.646088867346345,11.761737648227847,9.592173484425828,-9.592173484425807,1.1370310497775118,0.6802608838524731,6.294726291833018,0.6907355848039732,0.8205217263374781,1.0,1549.0,7.805983602974468,80.63975806244856,8.848796255999929,10.511445681551502,10.639758062448564,-10.639758062448571,1.1519965437492652,0.645341397918381,1.047584578022736,0.20270738865358418,-1.250291966676345,0.9773738203600565
Clay,5.183765368462996,0.5636595428316113,0.0,0.0,117.0,5.747424911294607,90.19283328566972,9.80716671433028,0.0,20.19283328566972,-20.19283328566972,1.2884690469381388,0.32690555714434266,5.095432155576624,0.5603096206525592,0.0,0.0,847.0,5.655741776229184,90.09308340406356,9.906916595936437,0.0,20.093083404063563,-20.093083404063563,1.2870440486294794,0.3302305531978812,-0.09974988160615794,0.09974988160615617,0.0,0.9840479629607249
