county_name,is_coastal,wind_p95_present,rain_p95_present,surge_p95_present,wind_p95_future,rain_p95_future,surge_p95_future,wind_ratio,rain_ratio,surge_ratio,wind_pct_change,rain_pct_change,surge_pct_change,beta_wind,beta_rain,beta_surge,damage_scaling_wind,damage_scaling_rain,damage_scaling_surge,damage_scaling_total,damage_pct_increase
Alachua,0,29.305445731268758,110.44351388360222,0.0,33.277175775337234,166.70700925087473,0.0,1.1355287322690992,1.5094323141251824,1.0,13.552873226909924,50.943231412518244,0.0,4.38,0.45,0.0,1.7448889769650209,1.2035555487186305,1.0,2.1000708101242256,110.00708101242256
Baker,0,28.67770048622594,104.63524702243446,0.0,32.54628819942651,144.96157330302594,0.0,1.1348988068328514,1.3853990604766881,1.0,13.489880683285138,38.539906047668815,0.0,4.38,0.45,0.0,1.7406532714483782,1.1580003747865442,1.0,2.015677140710646,101.5677140710646
Bay,1,25.305833779720142,75.54797434104442,0.4695391320969999,29.396690302213518,135.13901668954782,0.5417589161429999,1.1616566518395097,1.7887841081047238,1.153809608826111,16.16566518395097,78.87841081047237,15.380960882611095,5.21,0.52,0.62,2.1830076247336523,1.3531007117631435,1.0927559348807085,3.2278143570280005,222.78143570280005
Bradford,0,29.13677542056659,107.54052011624425,0.0,32.760374119942576,156.1485622596282,0.0,1.1243651201173448,1.451997457691709,1.0,12.436512011734479,45.199745769170896,0.0,4.38,0.45,0.0,1.6709915611784367,1.1827273374803824,1.0,1.97632740010476,97.632740010476
Brevard,1,27.050033234659427,91.37636948481135,0.3451835746314999,29.789616789096815,135.51592456078757,0.3319494165200001,1.1012783766065308,1.4830521812344597,0.9616606329363707,10.127837660653082,48.30521812344597,-3.833936706362928,5.21,0.52,0.62,1.6530422492037273,1.2274430314409397,0.9760533120665544,1.9804269959082914,98.04269959082914
Broward,1,28.314252495881938,92.19234111281305,0.195015708536,32.10754272502249,157.35412751537586,0.19186655081499998,1.133971048528341,1.7068025923761243,0.9838518568760548,13.397104852834097,70.68025923761243,-1.6148143123945191,5.21,0.52,0.62,1.9252017444670542,1.3204905963036642,0.9899572030444909,2.51667989267811,151.667989267811
Calhoun,0,28.719031743599974,107.86067418112495,0.0,32.951256763267715,175.65443201874774,0.0,1.147366558527668,1.6285308127710139,1.0,14.7366558527668,62.85308127710139,0.0,4.38,0.45,0.0,1.8259781734299214,1.245398077691952,1.0,2.2740697070970857,127.40697070970856
Charlotte,1,26.575038660589886,99.74938502999241,0.48215274793999996,30.348631230691122,170.9087769478116,0.6426869585244998,1.141997627032609,1.713381753511978,1.3329523233416347,14.199762703260909,71.33817535119779,33.29523233416347,5.21,0.52,0.62,1.997265037856019,1.3231349813211661,1.195047208895886,3.158092986722849,215.8092986722849
Citrus,1,25.26093561793498,94.22840152995042,0.9731213639800005,30.188246925342074,167.71763536075017,1.4000475745399978,1.1950565563712614,1.779905334885002,1.4387179108841972,19.50565563712614,77.9905334885002,43.87179108841972,5.21,0.52,0.62,2.530427336861149,1.3496041047817546,1.2529822050637485,4.279028355167686,327.90283551676856
Clay,0,29.14899691977127,106.97365136159036,0.0,32.38892896677629,154.38902992576155,0.0,1.1111507179739935,1.4432435232172742,1.0,11.115071797399345,44.324352321727424,0.0,4.38,0.45,0.0,1.586666359610021,1.1795132605142835,1.0,1.8714940111719445,87.14940111719444
Collier,1,28.070368986966624,90.0540110001413,1.18640159699,31.042546440410227,155.7830177320425,1.3268719389949994,1.1058830879259383,1.7298842691405918,1.1184002313897359,10.588308792593825,72.98842691405918,11.840023138973589,5.21,0.52,0.62,1.6893709352009907,1.3297465299778715,1.0718408230068237,2.4078208881410954,140.78208881410953
Columbia,0,28.85761894309336,109.56298790923003,0.0,33.080824552026854,153.55409597092304,0.0,1.1463462897238776,1.401514311535791,1.0,14.634628972387764,40.15143115357911,0.0,4.38,0.45,0.0,1.8188770113073958,1.16404264637792,1.0,2.117250409678223,111.72504096782232
DeSoto,0,30.826466229370656,123.52740931933255,0.0,33.94963567579032,207.58431205032588,0.0,1.101314543219665,1.6804716662779264,1.0,10.131454321966494,68.04716662779265,0.0,4.38,0.45,0.0,1.5260607385764047,1.2631183298471726,1.0,1.927595291355971,92.7595291355971
Dixie,1,25.904066557851696,111.3726421062231,1.0299039833799994,30.839940155352476,189.7612646099358,1.3363096218299997,1.1905443454576186,1.7038409102758614,1.2975086472971722,19.054434545761858,70.38409102758614,29.750864729717218,5.21,0.52,0.62,2.481043932045369,1.3192986003425726,1.1752448635362507,3.846855896229167,284.6855896229167
Duval,1,25.512428760319093,77.8502010874145,0.41761686880000004,29.10976694296773,110.4541217091113,0.4127540971549999,1.141003354695905,1.4188032882058201,0.9883559301258515,14.100335469590508,41.880328820582015,-1.1644069874148455,5.21,0.52,0.62,1.988221931116022,1.1994980240510613,0.9927646186931167,2.3676128463924524,136.76128463924525
Escambia,1,25.11345090096736,93.38741136862873,0.46926342828099993,28.720341187897745,158.91337524310205,0.5742165540455,1.1436238355903374,1.7016573455940964,1.2236545526132512,14.362383559033741,70.16573455940964,22.365455261325117,5.21,0.52,0.62,2.012127347499478,1.3184191382880983,1.1333093578810938,3.006473894699749,200.6473894699749
Flagler,1,26.103407422451372,85.1941033748936,0.3624724926699999,29.10039993182658,125.90680891170723,0.3531154790449999,1.1148123057676067,1.4778817247453981,0.9741856609815086,11.48123057676067,47.78817247453981,-2.5814339018491395,5.21,0.52,0.62,1.761656125689221,1.2252159248468744,0.9839156635100864,2.123692560419099,112.36925604190988
Franklin,1,24.91413037611389,52.07367496904865,1.3044714497649983,30.07365898859564,95.75799720685733,1.6636433094799987,1.2070924542618566,1.8388945359604263,1.2753387852535372,20.709245426185664,83.88945359604263,27.533878525353717,5.21,0.52,0.62,2.666049372151536,1.372680763571423,1.1627540258731934,4.255254966562406,325.5254966562406
Gadsden,0,29.25729776047575,106.93026624181844,0.0,32.645452937292625,162.74620033424964,0.0,1.1158054680493605,1.521984425290977,1.0,11.580546804936054,52.19844252909771,0.0,4.38,0.45,0.0,1.615985895418519,1.2080491211018283,1.0,1.9521903406732928,95.21903406732928
