admin2_name,wind_weighted,rain_weighted,surge_weighted,is_coastal,n_extreme_events,mean_compound_hazard,wind_share,rain_share,surge_share,wind_deviation_pp,water_deviation_pp,wind_scaling,water_scaling
Alachua,5.125575189333968,0.5405465171050134,0.0,0.0,864.0,5.666121706438981,90.46002636175753,9.539973638242476,0.0,20.460026361757528,-20.460026361757524,1.2922860908822504,0.31799912127474916
Baker,5.102001067090255,0.5330506240965968,0.0,0.0,838.0,5.635051691186852,90.54044837014928,9.459551629850727,0.0,20.540448370149278,-20.54044837014927,1.2934349767164184,0.31531838766169096
Bay,6.428379689801092,0.7431339070403087,1.1115845341923136,1.0,1489.0,8.283098131033716,77.60839710103548,8.971690245417472,13.419912653547062,7.608397101035479,-7.6083971010354645,1.1086913871576498,0.7463867632988179
Bradford,5.094105433394634,0.5379217086272906,0.0,0.0,855.0,5.632027142021925,90.44887932776946,9.551120672230534,0.0,20.44887932776946,-20.44887932776947,1.2921268475395637,0.31837068907435107
Brevard,6.235027728181542,0.8072015861367602,1.1483819561107431,1.0,1339.0,8.190611270429045,76.12408307902685,9.855205667628724,14.02071125334444,6.124083079026846,-6.124083079026839,1.087486901128955,0.795863897365772
Broward,6.508378860246964,0.8270022636200456,0.8410972556420879,1.0,1396.0,8.1764783795091,79.59880229803429,10.114406535857524,10.28679116610819,9.598802298034286,-9.598802298034286,1.1371257471147755,0.6800399233988571
Calhoun,5.241373370965317,0.5810925191390645,0.0,0.0,873.0,5.822465890104382,90.01982098123297,9.98017901876703,0.0,20.019820981232968,-20.019820981232968,1.2859974425890424,0.3326726339589011
Charlotte,6.52592094194919,0.7546953337775837,0.994285709930218,1.0,1546.0,8.274901985656992,78.86402706957332,9.120293328980914,12.015679601445772,8.864027069573325,-8.864027069573314,1.1266289581367617,0.7045324310142229
Citrus,6.294726291833018,0.6907355848039732,0.8205217263374781,1.0,1549.0,7.805983602974468,80.63975806244856,8.848796255999929,10.511445681551502,10.639758062448564,-10.639758062448571,1.1519965437492652,0.645341397918381
Clay,5.095432155576624,0.5603096206525592,0.0,0.0,847.0,5.655741776229184,90.09308340406356,9.906916595936437,0.0,20.093083404063563,-20.093083404063563,1.2870440486294794,0.3302305531978812
Collier,6.503636519641702,0.7916118459535678,1.017514952162577,1.0,1539.0,8.312763317757847,78.23675799536525,9.522848368153523,12.240393636481226,8.236757995365252,-8.236757995365252,1.1176679713623607,0.7254414001544915
Columbia,5.111847843694176,0.5258530388210138,0.0,0.0,847.0,5.6377008825151895,90.67256227708181,9.327437722918194,0.0,20.67256227708181,-20.672562277081806,1.2953223182440259,0.3109145907639398
DeSoto,5.274776492778854,0.5529041678417306,0.0,0.0,921.0,5.827680660620584,90.51244911928904,9.48755088071096,0.0,20.512449119289045,-20.512449119289037,1.293034987418415,0.31625169602369874
Dixie,6.388133112964907,0.7124116910570875,0.9906399678201647,1.0,1487.0,8.09118477184216,78.9517640877022,8.804788311550192,12.24344760074761,8.951764087702202,-8.951764087702198,1.1278823441100314,0.7016078637432601
