admin2_name,wind_weighted,rain_weighted,surge_weighted,is_coastal,n_extreme_events,mean_compound_hazard,wind_share,rain_share,surge_share,wind_deviation_pp,water_deviation_pp,wind_scaling,water_scaling
Alachua,5.141671591789477,0.541161616207297,0.0,0.0,119.0,5.682833207996773,90.47725674148268,9.52274325851733,0.0,20.477256741482677,-20.47725674148267,1.2925322391640384,0.317424775283911
Baker,5.259438670242989,0.5740171090044919,0.0,0.0,115.0,5.83345577924748,90.1599132533659,9.84008674663409,0.0,20.1599132533659,-20.159913253365907,1.28799876076237,0.3280028915544697
Bay,6.369101072586366,0.7247169259287843,1.1129819804257572,1.0,228.0,8.206799978940907,77.6076069714118,8.830688304679622,13.561704723908578,7.607606971411798,-7.607606971411798,1.108680099591597,0.74641310095294
Bradford,5.168357653362876,0.5263824799173608,0.0,0.0,117.0,5.694740133280238,90.75669007544057,9.243309924559425,0.0,20.756690075440574,-20.756690075440574,1.2965241439348654,0.3081103308186476
Brevard,6.493183205203461,0.7473780924587429,1.0775238073434188,1.0,206.0,8.318085105005622,78.06103355802432,8.984977708499146,12.953988733476544,8.06103355802432,-8.06103355802431,1.1151576222574904,0.7312988813991896
Broward,6.393453686505648,0.7388277202557643,0.7242855622988816,1.0,215.0,7.856566969060296,81.37719326626392,9.403951155324192,9.2188555784119,11.377193266263916,-11.377193266263909,1.162531332375199,0.6207602244578697
Calhoun,5.327918567332886,0.5454240975092629,0.0,0.0,116.0,5.8733426648421485,90.7135658749459,9.286434125054097,0.0,20.7135658749459,-20.713565874945903,1.2959080839277985,0.30954780416846994
Charlotte,6.696382821117807,0.7312182101818199,1.1255461191589349,1.0,243.0,8.553147150458562,78.2914487886344,8.549112944264229,13.159438267101375,8.291448788634398,-8.291448788634398,1.1184492684090628,0.7236183737121867
Citrus,6.356781696031586,0.6905364817680754,0.939373751495935,1.0,244.0,7.986691929295597,79.59217348442583,8.646088867346345,11.761737648227847,9.592173484425828,-9.592173484425807,1.1370310497775118,0.6802608838524731
Clay,5.183765368462996,0.5636595428316113,0.0,0.0,117.0,5.747424911294607,90.19283328566972,9.80716671433028,0.0,20.19283328566972,-20.19283328566972,1.2884690469381388,0.32690555714434266
Collier,6.467268833249211,0.7663425879017389,0.9867980711348314,1.0,241.0,8.220409492285782,78.67331717864231,9.322438117236036,12.004244704121676,8.673317178642307,-8.673317178642286,1.1239045311234614,0.7108894273785904
Columbia,5.1854508263222225,0.5395128947554411,0.0,0.0,115.0,5.724963721077664,90.57613425969652,9.423865740303476,0.0,20.576134259696516,-20.576134259696524,1.2939447751385216,0.3141288580101159
DeSoto,5.4277727189771205,0.5677391278585769,0.0,0.0,129.0,5.995511846835698,90.53059784781816,9.469402152181845,0.0,20.530597847818157,-20.530597847818157,1.2932942549688309,0.3156467384060614
Dixie,6.359807240031357,0.7060871454520329,1.0723936374307506,1.0,227.0,8.138288022914141,78.14674563157143,8.67611398692177,13.177140381506803,8.146745631571434,-8.146745631571427,1.1163820804510205,0.7284418122809524
Duval,6.324908739407421,0.7430122505414775,0.7574187324557504,1.0,220.0,7.8253397224046495,80.8259955960588,9.494952000795145,9.67905240314606,10.825995596058803,-10.825995596058796,1.1546570799436973,0.6391334801313735
Escambia,6.443900966029162,0.7502407320826383,1.2203374603079937,1.0,232.0,8.414479158419793,76.58110317596059,8.916068576055878,14.502828247983546,6.5811031759605925,-6.581103175960578,1.0940157596565798,0.7806298941346475
