Bond_Name,Series,Issuer,Cedent_Sponsor,Size,Size_Million_USD,Trigger_Type,Risks_Perils,Placement_Agent,Risk_Modelling,Ratings,Issue_Date,Issue_Date_Sort,,,
Bayou Re Ltd. (Series 2024-1),2024-1,Bayou Re Ltd.,Louisiana Citizens Property Insurance Corporation,$275m,275,Indemnity,Louisiana named storm,GC Securities is sole structuring agent and bookrunner,AIR Worldwide,NR,Apr.24,2024-04,,,
Purple Re Ltd. (Series 2024-1),2024-1,Purple Re Ltd.,Slide Insurance Company,$210m,210,Indemnity,Florida and South Carolina named storm,GC Securities is sole structuring agent and bookrunner,AIR Worldwide,NR,Apr.24,2024-04,,,
Armor Re II Ltd. (Series 2024-1),2024-1,Armor Re II Ltd.,American Coastal Insurance Company,$200m,200,Indemnity,Florida named storm,Aon Securities is sole structuring agent and bookrunner,AIR Worldwide,NR,Apr.24,2024-04,,,
Palm Re Ltd. (Series 2024-1),2024-1,Palm Re Ltd.,Florida Peninsula Insurance,$150m,150,Indemnity,Florida named storm,Howden Tiger Capital Markets & Advisory is sole structuring agent and bookrunner,AIR Worldwide,NR,Apr.24,2024-04,,,
Gateway Re Ltd. (Series 2024-2),2024-2,Gateway Re Ltd.,"SureChoice Underwriters Reciprocal Exchange, Elevate Reciprocal Exchange",$130m,130,Indemnity,"US named storm: Alabama, Florida, North and South Carolina, Louisiana, Mississippi, Texas",Swiss Re Capital Markets is sole structuring agent and bookrunner,AIR Worldwide,NR,Apr.24,2024-04,,,
Charles River Re Ltd. (Series 2024-1),2024-1,Charles River Re Ltd.,American European Insurance Company,$125m,125,Indemnity,"Named storm: Massachusetts, New Jersey, New York, South Carolina",GC Securities is sole structuring agent and bookrunner,AIR Worldwide,NR,Apr.24,2024-04,,,
Sabine Re Ltd. (Series 2024-1),2024-1,Sabine Re Ltd.,Allied Trust Insurance Company,$100m,100,Indemnity,"Named storm: Texas, North Carolina, South Carolina, Louisiana",Aon Securities is sole structuring agent and bookrunner,AIR Worldwide,NR,Apr.24,2024-04,,,
Cape Lookout Re Ltd. (Series 2024-1),2024-1,Cape Lookout Re Ltd.,North Carolina Insurance Underwriting Association,$450m,450,Indemnity,North Carolina named storm,GC Securities is sole structuring agent and bookrunner,RMS,NR,Mar.24,2024-03,,,
Integrity Re Ltd. (Series 2024-1),2024-1,Integrity Re Ltd.,American Integrity Insurance Group,$305m,305,Indemnity,Southeast US named storm,Gallagher Securities is sole structuring agent & bookrunner,AIR Worldwide,NR,Mar.24,2024-03,,,
Gateway Re Ltd. (Series 2024-1),2024-1,Gateway Re Ltd.,"SureChoice Underwriters Reciprocal Exchange, Elevate Reciprocal Exchange",$250m,250,Indemnity,"US named storm: Alabama, North and South Carolina, Louisiana, Mississippi, Texas",Swiss Re Capital Markets is sole structuring agent and bookrunner,AIR Worldwide,NR,Mar.24,2024-03,,,
Citrus Re Ltd. (Series 2024-1),2024-1,Citrus Re Ltd.,Heritage Property and Casualty Insurance Co.,$100m,100,Indemnity,"US named storm (initially Alabama, Florida, Georgia, Mississippi, North Carolina and South Carolina)",Aon Securities is sole structuring agent and bookrunner,AIR Worldwide,NR,Mar.24,2024-03,,,
Winston Re Ltd. (Series 2024-1),2024-1,Winston Re Ltd.,Tower Hill Insurance Exchange,$400m,400,Indemnity,Florida named storm,Howden Tiger Capital Markets & Advisory is sole structuring agent and bookrunner,AIR Worldwide,NR,Feb.24,2024-02,,,
Herbie Re Ltd. (Series 2024-1),2024-1,Herbie Re Ltd.,Fidelis Insurance,$150m,150,Industry loss index,"U.S., DC, Puerto Rico, Virgin Islands named storm and earthquake",Aon Securities is sole structuring agent and bookrunner,AIR Worldwide,NR,Feb.24,2024-02,,,
Fish Pond Re Ltd. (Series 2024-1),2024-1,Fish Pond Re Ltd.,Texas Farm Bureau Insurance,$255m,255,Indemnity,Texas named storm,GC Securities is sole structuring agent and bookrunner,AIR Worldwide,NR,Jan.24,2024-01,,,
