state,county_fips,year,claims_usd
FL,12079,1987,13731
FL,12087,2012,10345
FL,12063,1988,500
FL,12033,2003,4437
FL,12129,2006,0
FL,12057,2018,89178
FL,12033,2010,43124
FL,12083,1992,3486
FL,12069,2009,8359
FL,12087,2014,64924
FL,12057,1989,4403
FL,12067,1986,114178
FL,12101,2014,10462
FL,12033,2016,55943
FL,12121,2016,53599
FL,12037,2020,65173
FL,12073,1991,69670
FL,12039,1984,11706
FL,12045,1997,5017
FL,12089,2003,889
FL,12129,2008,34665
FL,12083,2023,415330
FL,12095,1999,13359
FL,12099,2025,34308
FL,,2019,0
FL,12079,1998,70776
FL,12131,2002,0
FL,12109,1997,15010
FL,12015,1998,5656
FL,12091,2012,0
FL,12045,1996,37583
FL,12127,2015,0
FL,12133,1978,14054
FL,12005,1987,517
FL,12105,2013,32788
FL,12065,1985,12862
FL,12117,1999,0
FL,12035,2006,0
FL,12113,1981,0
FL,12089,2002,2497
FL,12061,2003,6964
FL,12053,1988,13879
FL,12097,2014,40737
FL,12069,2013,21038
FL,12107,1991,1586
FL,12087,1996,27863
FL,12007,1992,3600
FL,12035,1992,0
FL,12037,2004,54906
FL,12057,1978,247
FL,12045,2019,0
FL,12109,2015,102812
FL,12009,2006,5624
FL,12087,2002,0
FL,12071,1984,0
FL,12113,1987,0
FL,12119,1997,0
FL,12083,2022,0
FL,12093,1999,7145
FL,12067,1987,0
FL,12113,1991,0
FL,12093,2022,0
FL,12131,2023,24981
FL,12089,1998,9771
FL,12049,2015,13410
FL,,2003,0
FL,12027,1990,9599
FL,12017,2002,0
FL,12061,1992,3949
FL,12065,2004,4350
FL,12069,2023,35658
FL,12007,2023,0
FL,12105,2020,0
FL,12129,2015,69896
FL,12117,2013,0
FL,12059,2020,434598
FL,12131,2011,0
FL,12051,2017,167095
FL,12075,1986,16512
FL,12081,1987,6928
FL,12015,2005,27065
FL,12111,1996,8678
FL,12061,1996,9037
FL,12033,2006,0
FL,12111,2005,286671
FL,12085,2014,896602
FL,12086,1993,272472
FL,12021,2024,46872142
FL,12021,2017,23575989
FL,12031,2017,50148368
FL,12071,2004,17536868
FL,12113,1979,567178
FL,12057,1996,4706484
FL,12086,2023,5248949
FL,12011,2001,353821
FL,12103,1996,18443284
FL,12009,2008,8744268
FL,12086,2003,185772
FL,12011,2004,639306
FL,12057,2001,619600
FL,12086,2020,23565602
FL,12051,2005,75891
FL,12017,1993,16201466
FL,12115,2022,22273504
FL,12103,2004,1724567
FL,12011,1979,377234
FL,12045,2018,34135801
FL,12015,1988,155578
FL,12033,2002,328614
FL,12099,1992,153092
FL,12105,2004,1358879
FL,12101,2008,110157
FL,12103,1978,50439
FL,12031,2000,356492
FL,12009,2005,803600
FL,12095,2004,670436
FL,12081,1985,1803352
FL,12021,1998,56367
FL,12011,2024,11979092
FL,12107,2017,1313085
FL,12015,2000,190472
FL,12095,1994,71911
FL,12086,2022,3709711
FL,12031,2009,235106
FL,12133,1998,205519
FL,12107,2024,499057
FL,12101,1983,17586
FL,12011,1998,195111
FL,12081,2019,12935
FL,12035,2001,131865
FL,12105,2005,770310
FL,12015,2017,987286
FL,12071,2021,44932
FL,12071,1986,4568
FL,12107,2016,987587
FL,12101,2002,99466
FL,12031,2002,10334
FL,12087,1994,682060
FL,12031,2022,4244861
FL,12015,2003,119806
FL,12035,2022,6712724
FL,12075,1992,0
FL,12015,1994,82857
FL,12009,1991,1619
FL,12129,1998,657120
FL,12041,2009,63897
FL,,1992,45278
FL,12017,2006,712436
FL,12071,1998,30857
FL,12073,2008,688324
FL,12063,2018,14063
FL,12011,1985,23630
