event_id,total_damage_usd
FL_era5_reanalcal_00151,5815561188.38013
FL_era5_reanalcal_00152,21648914993.790718
FL_era5_reanalcal_00153,0.0
FL_era5_reanalcal_00154,0.0
FL_era5_reanalcal_00155,937922.0173497377
FL_era5_reanalcal_00156,57816796.30631067
FL_era5_reanalcal_00157,36871032304.498055
FL_era5_reanalcal_00158,0.0
FL_era5_reanalcal_00159,908796716.9625715
FL_era5_reanalcal_00160,0.0
FL_era5_reanalcal_00161,24137515.19853041
FL_era5_reanalcal_00162,1452194.0700777024
FL_era5_reanalcal_00163,0.0
FL_era5_reanalcal_00164,94950034.53676027
FL_era5_reanalcal_00165,0.0
FL_era5_reanalcal_00166,0.0
FL_era5_reanalcal_00167,3448223048.554901
FL_era5_reanalcal_00168,494965560.197389
FL_era5_reanalcal_00169,0.0
FL_era5_reanalcal_00170,0.0
FL_era5_reanalcal_00171,373462.473478286
FL_era5_reanalcal_00172,141951511.45831168
FL_era5_reanalcal_00173,0.0
FL_era5_reanalcal_00174,0.0
FL_era5_reanalcal_00175,0.0
FL_era5_reanalcal_00176,1102262891.7115986
FL_era5_reanalcal_00177,649173.0220602478
FL_era5_reanalcal_00178,71453066.21696267
FL_era5_reanalcal_00179,0.0
FL_era5_reanalcal_00180,0.0
FL_era5_reanalcal_00181,1014576488.0609919
FL_era5_reanalcal_00182,0.0
FL_era5_reanalcal_00183,104574719.80942357
FL_era5_reanalcal_00184,40251867.67799449
FL_era5_reanalcal_00185,0.0
FL_era5_reanalcal_00186,123883589450.36334
FL_era5_reanalcal_00187,15704674563.705013
FL_era5_reanalcal_00188,1080392.9486768711
FL_era5_reanalcal_00189,29193.409442128028
FL_era5_reanalcal_00190,0.0
FL_era5_reanalcal_00191,1839973.799960073
FL_era5_reanalcal_00192,0.0
FL_era5_reanalcal_00193,69387364637.72475
FL_era5_reanalcal_00194,0.0
FL_era5_reanalcal_00195,0.0
FL_era5_reanalcal_00196,393904244.1410033
FL_era5_reanalcal_00197,0.0
FL_era5_reanalcal_00198,0.0
FL_era5_reanalcal_00199,0.0
FL_era5_reanalcal_00200,0.0
FL_era5_reanalcal_00201,172.51274847747916
FL_era5_reanalcal_00202,0.0
FL_era5_reanalcal_00203,36154489.61941582
FL_era5_reanalcal_00204,0.0
FL_era5_reanalcal_00205,172367314.90269032
FL_era5_reanalcal_00206,992277867.2510084
FL_era5_reanalcal_00207,13306714618.79886
FL_era5_reanalcal_00208,0.0
FL_era5_reanalcal_00209,0.0
FL_era5_reanalcal_00210,46336674.236211166
FL_era5_reanalcal_00211,0.0
FL_era5_reanalcal_00212,103533512.52105539
FL_era5_reanalcal_00213,1345661489.6750197
FL_era5_reanalcal_00214,25319387.385923877
FL_era5_reanalcal_00215,64272191.55870084
FL_era5_reanalcal_00216,0.0
FL_era5_reanalcal_00217,58243411.18126317
FL_era5_reanalcal_00218,0.0
FL_era5_reanalcal_00219,0.0
FL_era5_reanalcal_00220,0.0
FL_era5_reanalcal_00221,0.0
FL_era5_reanalcal_00222,18988177.56151453
FL_era5_reanalcal_00223,11295011030.233578
FL_era5_reanalcal_00224,58841128378.908005
FL_era5_reanalcal_00225,1474563.3988956776
FL_era5_reanalcal_00226,0.0
FL_era5_reanalcal_00227,12517798705.786667
FL_era5_reanalcal_00228,2309189657.6456738
FL_era5_reanalcal_00229,0.0
FL_era5_reanalcal_00230,102776096178.06326
FL_era5_reanalcal_00231,0.0
FL_era5_reanalcal_00232,0.0
FL_era5_reanalcal_00233,0.0
FL_era5_reanalcal_00234,37085.150746391024
FL_era5_reanalcal_00235,219848.37005408638
FL_era5_reanalcal_00236,0.0
FL_era5_reanalcal_00237,0.0
FL_era5_reanalcal_00238,22104928.009287085
FL_era5_reanalcal_00239,25406759.92770312
FL_era5_reanalcal_00240,0.0
FL_era5_reanalcal_00241,0.0
FL_era5_reanalcal_00242,711882.3020148692
FL_era5_reanalcal_00243,47990839.62797779
FL_era5_reanalcal_00244,116773901.18717404
FL_era5_reanalcal_00245,17259969.93613938
FL_era5_reanalcal_00246,86254620.28980355
FL_era5_reanalcal_00247,0.0
FL_era5_reanalcal_00248,1545016.7683184547
FL_era5_reanalcal_00249,74219656.9391188
FL_era5_reanalcal_00250,684085287.9161807
FL_era5_reanalcal_00251,5045522204.78809
FL_era5_reanalcal_00252,0.0
FL_era5_reanalcal_00253,0.0
FL_era5_reanalcal_00254,99390302.23466757
FL_era5_reanalcal_00255,0.0
FL_era5_reanalcal_00256,0.0
FL_era5_reanalcal_00257,35310714.2453869
FL_era5_reanalcal_00258,0.0
FL_era5_reanalcal_00259,556242.4601038696
FL_era5_reanalcal_00260,0.0
FL_era5_reanalcal_00261,0.0
FL_era5_reanalcal_00262,0.0
FL_era5_reanalcal_00263,599349555.6080633
FL_era5_reanalcal_00264,194105456.0440782
FL_era5_reanalcal_00265,16995273809.434826
FL_era5_reanalcal_00266,0.0
FL_era5_reanalcal_00267,4863321.63228604
FL_era5_reanalcal_00268,0.0
FL_era5_reanalcal_00269,0.0
FL_era5_reanalcal_00270,0.0
FL_era5_reanalcal_00271,79972368885.91205
FL_era5_reanalcal_00272,0.0
FL_era5_reanalcal_00273,0.0
FL_era5_reanalcal_00274,5531008819.668398
FL_era5_reanalcal_00275,0.0
