f,loss_RP10_B,loss_RP100_B,loss_amp_100_over_10,burden_RP10_B,burden_RP100_B,burden_amp_100_over_10,P(burden>1%GDP),mean_public_burden_corrected_B
0.1,39.51614729927659,357.1695270785346,9.038571609056463,0.0,16.799289629471755,,0.0099,0.6217452776344998
0.2,39.51614729927659,357.1695270785346,9.038571609056463,0.0725861627612534,27.5409138658766,379.4237471467218,0.0184,1.102507035213588
0.3,39.51614729927659,357.1695270785346,9.038571609056463,0.9505536099709738,42.47848543623321,44.68815329366887,0.0282,1.6898316245693512
0.4,39.51614729927659,357.1695270785346,9.038571609056463,1.8960054178957673,58.12459604624158,30.65634491210983,0.0366,2.339060851423122
0.5,39.51614729927659,357.1695270785346,9.038571609056463,2.9483840993923467,73.05704816599687,24.778673911941702,0.0447,3.0203867758228387
